,Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Chapter Name,Movie ID,Movie Chapter,Tokens_Gensim,Tokens,pos_tags,chunks,all_entities_spacy_dial,wordcount,spell_count,SentimentScore,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag,chara
0,1,1,8,4,I should have known that you would be here...Professor McGonagall.,albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['should', 'have', 'known', 'that', 'you', 'would', 'be', 'here', 'professor', 'mcgonagall']","['known', 'would', 'professor', 'mcgonagall']","[('known', 'VBN'), ('would', 'MD'), ('professor', 'VB'), ('mcgonagall', 'NN')]",(S known/VBN would/MD professor/VB mcgonagall/NN),"[('McGonagall', 'PERSON')]",4,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['minerva mcgonagall']
1,2,1,8,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Doorstep Delivery,1,1,"['good', 'evening', 'professor', 'dumbledore', 'are', 'the', 'rumours', 'true', 'albus']","['good', 'evening', 'professor', 'dumbledore', 'rumours', 'true', 'albus']","[('good', 'JJ'), ('evening', 'NN'), ('professor', 'NN'), ('dumbledore', 'NN'), ('rumours', 'VBZ'), ('true', 'JJ'), ('albus', 'NN')]","(S
  good/JJ
  evening/NN
  professor/NN
  dumbledore/NN
  rumours/VBZ
  true/JJ
  albus/NN)","[('evening', 'TIME'), ('Dumbledore', 'PERSON'), ('Albus', 'GPE')]",7,[],"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}",0.6908,0.449,0.0,0.551,1,0,0,"['albus dumbledore', 'aberforth dumbledore', 'albus potter']"
2,3,1,8,4,"I'm afraid so, Professor. The good, and the bad.",albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['afraid', 'so', 'professor', 'the', 'good', 'and', 'the', 'bad']","['afraid', 'professor', 'good', 'bad']","[('afraid', 'NN'), ('professor', 'NN'), ('good', 'JJ'), ('bad', 'JJ')]",(S afraid/NN professor/NN good/JJ bad/JJ),[],4,[],"{'neg': 0.256, 'neu': 0.512, 'pos': 0.232, 'compound': -0.0865}",-0.0865,0.232,0.256,0.512,0,1,0,[]
3,4,1,8,7,And the boy?,minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Doorstep Delivery,1,1,"['and', 'the', 'boy']",['boy'],"[('boy', 'NN')]",(S boy/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['boy', 'boy 2']"
4,5,1,8,4,Hagrid is bringing him.,albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['hagrid', 'is', 'bringing', 'him']","['hagrid', 'bringing']","[('hagrid', 'JJ'), ('bringing', 'NN')]",(S hagrid/JJ bringing/NN),"[('Hagrid', 'ORG')]",2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['rubeus hagrid']
5,6,1,8,7,Do you think it wise to trust Hagrid with something as important as this?,minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Doorstep Delivery,1,1,"['do', 'you', 'think', 'it', 'wise', 'to', 'trust', 'hagrid', 'with', 'something', 'as', 'important', 'as', 'this']","['think', 'wise', 'trust', 'hagrid', 'something', 'important']","[('think', 'NN'), ('wise', 'NN'), ('trust', 'NN'), ('hagrid', 'NN'), ('something', 'NN'), ('important', 'JJ')]",(S think/NN wise/NN trust/NN hagrid/NN something/NN important/JJ),"[('Hagrid', 'GPE')]",6,[],"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.802}",0.802,0.427,0.0,0.573,1,0,0,['rubeus hagrid']
6,7,1,8,4,"Ah, Professor, I would trust Hagrid with my life.",albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['ah', 'professor', 'would', 'trust', 'hagrid', 'with', 'my', 'life']","['ah', 'professor', 'would', 'trust', 'hagrid', 'life']","[('ah', 'NN'), ('professor', 'NN'), ('would', 'MD'), ('trust', 'VB'), ('hagrid', 'JJ'), ('life', 'NN')]",(S ah/NN professor/NN would/MD trust/VB hagrid/JJ life/NN),"[('Hagrid', 'GPE')]",6,[],"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}",0.5106,0.32,0.0,0.68,1,0,0,['rubeus hagrid']
7,8,1,8,5,"Professor Dumbledore, Sir. Professor McGonagall.",rubeus hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,Doorstep Delivery,1,1,"['professor', 'dumbledore', 'sir', 'professor', 'mcgonagall']","['professor', 'dumbledore', 'sir', 'professor', 'mcgonagall']","[('professor', 'NN'), ('dumbledore', 'NN'), ('sir', 'NN'), ('professor', 'NN'), ('mcgonagall', 'NN')]",(S professor/NN dumbledore/NN sir/NN professor/NN mcgonagall/NN),"[('Dumbledore', 'PERSON'), ('McGonagall', 'PERSON')]",5,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['albus dumbledore', 'minerva mcgonagall', 'aberforth dumbledore']"
8,9,1,8,4,"No problems, I trust, Hagrid?",albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['no', 'problems', 'trust', 'hagrid']","['problems', 'trust', 'hagrid']","[('problems', 'NNS'), ('trust', 'VBP'), ('hagrid', 'VB')]",(S problems/NNS trust/VBP hagrid/VB),"[('Hagrid', 'GPE')]",3,[],"{'neg': 0.533, 'neu': 0.109, 'pos': 0.359, 'compound': -0.1531}",-0.1531,0.359,0.533,0.109,0,1,0,['rubeus hagrid']
9,10,1,8,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",rubeus hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,Doorstep Delivery,1,1,"['no', 'sir', 'little', 'tyke', 'fell', 'asleep', 'just', 'as', 'we', 'were', 'flying', 'over', 'bristol', 'heh', 'try', 'not', 'to', 'wake', 'him', 'there', 'you', 'go']","['sir', 'little', 'tyke', 'fell', 'asleep', 'flying', 'bristol', 'heh', 'try', 'wake', 'go']","[('sir', 'JJ'), ('little', 'JJ'), ('tyke', 'NN'), ('fell', 'VBD'), ('asleep', 'RB'), ('flying', 'VBG'), ('bristol', 'NN'), ('heh', 'NNS'), ('try', 'VBP'), ('wake', 'NN'), ('go', 'VB')]","(S
  sir/JJ
  little/JJ
  tyke/NN
  fell/VBD
  asleep/RB
  flying/VBG
  bristol/NN
  heh/NNS
  try/VBP
  wake/NN
  go/VB)","[('Bristol.', 'ORG')]",11,[],"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.0,0.16,0.84,0,1,0,[]
