,Chapter ID,Place ID,Character ID,Dialogue,tokens,Character Name,Gender,House,pos_tags,entities_people,all_entities_nltk,all_entities_spacy,chunks
0,1,8,4,I should have known that you would be here...Professor McGonagall.,"['known', 'would', '...', 'Professor', 'McGonagall']",Albus Dumbledore,Male,Gryffindor,"[('known', 'VBN'), ('would', 'MD'), ('...', ':'), ('Professor', 'NNP'), ('McGonagall', 'NNP')]",[],[],[McGonagall],(S known/VBN would/MD .../: Professor/NNP McGonagall/NNP)
1,1,8,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?","['Good', 'evening', 'Professor', 'Dumbledore', 'rumours', 'true', 'Albus']",Minerva McGonagall,Female,Gryffindor,"[('Good', 'JJ'), ('evening', 'NN'), ('Professor', 'NNP'), ('Dumbledore', 'NNP'), ('rumours', 'VBZ'), ('true', 'JJ'), ('Albus', 'NNP')]","[Tree('PERSON', [('Albus', 'NNP')])]","[Tree('GPE', [('Good', 'JJ')]), Tree('PERSON', [('Albus', 'NNP')])]","[evening, Dumbledore, Albus]","(S
  (GPE Good/JJ)
  evening/NN
  Professor/NNP
  Dumbledore/NNP
  rumours/VBZ
  true/JJ
  (PERSON Albus/NNP))"
2,1,8,4,"I'm afraid so, Professor. The good, and the bad.","[""'m"", 'afraid', 'Professor', 'good', 'bad']",Albus Dumbledore,Male,Gryffindor,"[(""'m"", 'VBP'), ('afraid', 'JJ'), ('Professor', 'NNP'), ('good', 'JJ'), ('bad', 'JJ')]",[],[],[],(S 'm/VBP afraid/JJ Professor/NNP good/JJ bad/JJ)
3,1,8,7,And the boy?,['boy'],Minerva McGonagall,Female,Gryffindor,"[('boy', 'NN')]",[],[],[],(S boy/NN)
4,1,8,4,Hagrid is bringing him.,"['Hagrid', 'bringing']",Albus Dumbledore,Male,Gryffindor,"[('Hagrid', 'NNP'), ('bringing', 'NN')]",[],"[Tree('GPE', [('Hagrid', 'NNP')])]",[Hagrid],(S (GPE Hagrid/NNP) bringing/NN)
5,1,8,7,Do you think it wise to trust Hagrid with something as important as this?,"['think', 'wise', 'trust', 'Hagrid', 'something', 'important']",Minerva McGonagall,Female,Gryffindor,"[('think', 'NN'), ('wise', 'NN'), ('trust', 'NN'), ('Hagrid', 'NNP'), ('something', 'NN'), ('important', 'JJ')]","[Tree('PERSON', [('Hagrid', 'NNP')])]","[Tree('PERSON', [('Hagrid', 'NNP')])]",[Hagrid],"(S
  think/NN
  wise/NN
  trust/NN
  (PERSON Hagrid/NNP)
  something/NN
  important/JJ)"
6,1,8,4,"Ah, Professor, I would trust Hagrid with my life.","['Ah', 'Professor', 'would', 'trust', 'Hagrid', 'life']",Albus Dumbledore,Male,Gryffindor,"[('Ah', 'NNP'), ('Professor', 'NNP'), ('would', 'MD'), ('trust', 'VB'), ('Hagrid', 'NNP'), ('life', 'NN')]",[],"[Tree('GPE', [('Hagrid', 'NNP')])]",[Hagrid],(S Ah/NNP Professor/NNP would/MD trust/VB (GPE Hagrid/NNP) life/NN)
7,1,8,5,"Professor Dumbledore, Sir. Professor McGonagall.","['Professor', 'Dumbledore', 'Sir', 'Professor', 'McGonagall']",Rubeus Hagrid,Male,Gryffindor,"[('Professor', 'NNP'), ('Dumbledore', 'NNP'), ('Sir', 'NNP'), ('Professor', 'NNP'), ('McGonagall', 'NNP')]",[],[],"[Dumbledore, McGonagall]",(S Professor/NNP Dumbledore/NNP Sir/NNP Professor/NNP McGonagall/NNP)
8,1,8,4,"No problems, I trust, Hagrid?","['problems', 'trust', 'Hagrid']",Albus Dumbledore,Male,Gryffindor,"[('problems', 'NNS'), ('trust', 'VBP'), ('Hagrid', 'NNP')]","[Tree('PERSON', [('Hagrid', 'NNP')])]","[Tree('PERSON', [('Hagrid', 'NNP')])]",[Hagrid],(S problems/NNS trust/VBP (PERSON Hagrid/NNP))
9,1,8,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.","['sir', 'Little', 'tyke', 'fell', 'asleep', 'flying', 'Bristol', 'Heh', 'Try', 'wake', 'go']",Rubeus Hagrid,Male,Gryffindor,"[('sir', 'JJ'), ('Little', 'NNP'), ('tyke', 'NN'), ('fell', 'VBD'), ('asleep', 'RB'), ('flying', 'VBG'), ('Bristol', 'NNP'), ('Heh', 'NNP'), ('Try', 'NNP'), ('wake', 'NN'), ('go', 'VB')]","[Tree('PERSON', [('Bristol', 'NNP'), ('Heh', 'NNP'), ('Try', 'NNP')])]","[Tree('PERSON', [('Bristol', 'NNP'), ('Heh', 'NNP'), ('Try', 'NNP')])]",[Bristol.],"(S
  sir/JJ
  Little/NNP
  tyke/NN
  fell/VBD
  asleep/RB
  flying/VBG
  (PERSON Bristol/NNP Heh/NNP Try/NNP)
  wake/NN
  go/VB)"
