,entities
0,[]
1,"[Tree('PERSON', [('Albus', 'NNP')])]"
2,[]
3,[]
4,[]
5,"[Tree('PERSON', [('Hagrid', 'NNP')])]"
6,[]
7,[]
8,"[Tree('PERSON', [('Hagrid', 'NNP')])]"
9,"[Tree('PERSON', [('Bristol', 'NNP'), ('Heh', 'NNP'), ('Try', 'NNP')])]"
10,"[Tree('PERSON', [('Albus', 'NNP')]), Tree('PERSON', [('Muggles', 'NNP')])]"
11,[]
12,[]
13,[]
14,[]
15,"[Tree('PERSON', [('Harry', 'NNP'), ('Potter', 'NNP')])]"
16,[]
17,[]
18,[]
19,[]
20,[]
21,"[Tree('PERSON', [('Aunt', 'NNP'), ('Petunia', 'NNP')])]"
22,"[Tree('PERSON', [('Dudley', 'NNP')])]"
23,"[Tree('PERSON', [('Hurry', 'NNP')])]"
24,"[Tree('PERSON', [('Uncle', 'NNP'), ('Vernon', 'NNP')])]"
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,"[Tree('PERSON', [('Sorry', 'NNP')]), Tree('PERSON', [('Burma', 'NNP')])]"
40,[]
41,"[Tree('PERSON', [('Whoa', 'NNP')])]"
42,[]
43,[]
44,[]
45,[]
46,[]
47,"[Tree('PERSON', [('Help', 'NNP')])]"
48,"[Tree('PERSON', [('Dursley', 'NNP')]), Tree('PERSON', [('Dursley', 'NNP')])]"
49,[]
50,[]
51,[]
52,[]
53,[]
54,"[Tree('PERSON', [('Vernon', 'NNP')])]"
55,"[Tree('PERSON', [('Caveat', 'NNP')]), Tree('PERSON', [('Smeltona', 'NNP'), ('Proudest', 'NNP')])]"
56,[]
57,[]
58,[]
59,[]
60,"[Tree('PERSON', [('Dudley', 'NNP')])]"
61,[]
62,"[Tree('PERSON', [('Marge', 'NNP')])]"
63,[]
64,[]
65,[]
66,[]
67,[]
68,"[Tree('PERSON', [('Shoo', 'NNP'), ('Go', 'NNP')])]"
69,"[Tree('PERSON', [('Dudley', 'NNP')])]"
70,[]
71,"[Tree('PERSON', [('Harry', 'NNP')])]"
72,[]
73,[]
74,[]
75,"[Tree('PERSON', [('Give', 'NNP')])]"
76,"[Tree('PERSON', [('Get', 'NNP')])]"
77,[]
78,[]
79,"[Tree('PERSON', [('Far', 'NNP')])]"
80,[]
81,"[Tree('PERSON', [('Harry', 'NNP')])]"
82,[]
83,"[Tree('PERSON', [('Sorry', 'NNP')])]"
84,[]
85,"[Tree('PERSON', [('Dry', 'NNP')]), Tree('PERSON', [('Dursley', 'NNP')]), Tree('PERSON', [('Harry', 'NNP')])]"
86,"[Tree('PERSON', [('Harry', 'NNP')])]"
87,[]
88,[]
89,[]
90,[]
91,[]
