,Character ID,spells
0,4,[]
1,7,[]
2,4,[]
3,7,[]
4,4,[]
5,7,[]
6,4,[]
7,5,[]
8,4,[]
9,5,[]
10,7,[]
11,4,[]
12,7,[]
13,4,[]
14,4,[]
15,4,[]
16,32,[]
17,31,[]
18,32,[]
19,21,[]
20,32,[]
21,1,[]
22,32,[]
23,21,[]
24,1,[]
25,32,[]
26,31,[]
27,21,[]
28,31,[]
29,21,[]
30,31,[]
31,32,[]
32,32,[]
33,21,[]
34,31,[]
35,21,[]
36,31,[]
37,1,[]
38,31,[]
39,1,[]
40,31,[]
41,31,[]
42,161,[]
43,1,[]
44,139,[]
45,31,[]
46,32,[]
47,31,[]
48,32,[]
49,32,[]
50,1,[]
51,21,[]
52,1,[]
53,21,[]
54,32,[]
55,21,[]
56,1,[]
57,32,[]
58,21,[]
59,32,[]
60,1,[]
61,32,[]
62,21,[]
63,31,[]
64,1,[]
65,21,[]
66,21,[]
67,32,[]
68,21,[]
69,21,[]
70,1,[]
71,21,[]
72,31,[]
73,21,[]
74,31,[]
75,21,[]
76,1,[]
77,21,[]
78,1,[]
79,21,[]
80,31,[]
81,1,[]
82,21,[]
83,5,[]
84,21,[]
85,5,[]
86,31,[]
87,1,[]
88,5,[]
89,1,[]
90,5,[]
91,1,[]
92,5,[]
93,1,[]
94,5,[]
95,1,[]
96,5,[]
97,1,[]
98,5,[]
99,1,[]
100,5,[]
101,1,[]
102,21,[]
103,1,[]
104,32,[]
105,1,[]
106,5,[]
107,32,[]
108,5,[]
109,21,[]
110,5,[]
111,1,[]
112,5,[]
113,21,[]
114,5,[]
115,31,[]
116,5,[]
117,1,[]
118,5,[]
119,1,[]
120,5,[]
121,1,[]
122,5,[]
123,1,[]
124,5,[]
125,1,[]
126,5,[]
127,92,[]
128,5,[]
129,92,[]
130,139,[]
131,132,[]
132,41,[]
133,5,[]
134,1,[]
135,41,[]
136,5,[]
137,1,[]
138,5,[]
139,1,[]
140,5,[]
141,138,[]
142,1,[]
143,5,[]
144,1,[]
145,5,[]
146,130,[]
147,5,[]
148,130,[]
149,30,[]
150,5,[]
151,30,[]
152,1,[]
153,5,[]
154,30,[]
155,5,[]
156,1,[]
157,5,[]
158,1,[]
159,43,[]
160,1,[]
161,43,[]
162,1,[]
163,43,[]
164,5,[]
165,1,[]
166,5,[]
167,1,[]
168,5,[]
169,1,[]
170,5,[]
171,1,[]
172,5,[]
173,5,[]
174,1,[]
175,5,[]
176,1,[]
177,5,[]
178,5,[]
179,1,[]
180,139,[]
181,1,[]
182,149,[]
183,1,[]
184,149,[]
185,26,[]
186,1,[]
187,26,[]
188,26,[]
189,19,[]
190,14,[]
191,26,[]
192,14,[]
193,1,[]
194,26,[]
195,20,[]
196,2,[]
197,1,[]
198,2,[]
199,1,[]
200,2,[]
201,1,[]
202,2,[]
203,1,[]
204,2,[]
205,140,[]
206,2,[]
207,1,[]
208,2,[]
209,1,[]
210,2,[]
211,1,[]
212,2,[]
213,1,[]
214,2,[]
215,1,[]
216,2,[]
217,1,[]
218,2,[]
219,1,[]
220,2,[]
221,3,[]
222,2,[]
223,3,[]
224,2,[]
225,3,['Oculus Reparo']
226,2,[]
227,3,[]
228,5,[]
229,5,[]
230,1,[]
231,2,[]
232,5,[]
